ADA	BRO,HIG,PIK,SCI
ALL	AUG,HAN,HAR,PUT,VAN
ASD	HOL,HUR,KNO,LOR,MED,RIC,WAY
ATB	GEA,LAK,TRU
ATH	HOC,MEG,MRG,PER,VIN,WAS
AUG	ALL,HAR,LOG,MER,SHE,VAN
BEL	GUE,HAS,JEF,MOE,NOB
BRO	ADA,CLE,CLI,HIG
BUT	HAM,MOT,PRE,WAR
CAR	COL,HAS,JEF,STA,TUS
CHP	CLA,LOG,MAD,MIA,SHE,UNI
CLA	CHP,GRE,MAD,MIA,MOT
CLE	BRO,CLI,HAM,WAR
CLI	BRO,CLE,FAY,GRE,HIG,WAR
COL	CAR,JEF,MAH,STA
COS	GUE,HOL,KNO,LIC,MUS,TUS
CRA	HUR,MAR,MRW,RIC,SEN,WYA
CUY	GEA,LAK,LOR,MED,POR,SUM
DAR	MER,MIA,MOT,PRE,SHE
DEF	HEN,PAU,PUT,WIL
DEL	FRA,KNO,LIC,MAR,MRW,UNI
ERI	HUR,LOR,OTT,SAN
FAI	FRA,HOC,LIC,PER,PIC
FAY	CLI,GRE,HIG,MAD,PIC,ROS
FRA	DEL,FAI,LIC,MAD,PIC,UNI
FUL	HEN,LUC,WIL
GAL	JAC,LAW,MEG,VIN
GEA	ATB,CUY,LAK,POR,SUM,TRU
GRE	CLA,CLI,FAY,MAD,MOT,WAR
GUE	BEL,COS,HAS,MUS,NOB,TUS
HAM	BUT,CLE,WAR
HAN	ALL,HAR,HEN,PUT,SEN,WOO,WYA
HAR	ALL,AUG,HAN,LOG,MAR,UNI,WYA
HAS	BEL,CAR,GUE,JEF,TUS
HEN	DEF,FUL,HAN,LUC,PUT,WIL,WOO
HIG	ADA,BRO,CLI,FAY,PIK,ROS
HOC	ATH,FAI,PER,PIC,ROS,VIN
HOL	ASD,COS,KNO,STA,TUS,WAY
HUR	ASD,CRA,ERI,LOR,RIC,SAN,SEN
JAC	GAL,LAW,PIK,ROS,SCI,VIN
JEF	BEL,CAR,COL,HAS
KNO	ASD,COS,DEL,HOL,LIC,MRW,RIC
LAK	ATB,CUY,GEA
LAW	GAL,JAC,SCI
LIC	COS,DEL,FAI,FRA,KNO,MUS,PER
LOG	AUG,CHP,HAR,SHE,UNI
LOR	ASD,CUY,ERI,HUR,MED
LUC	FUL,HEN,OTT,WOO
MAD	CHP,CLA,FAY,FRA,GRE,PIC,UNI
MAH	COL,POR,STA,TRU
MAR	CRA,DEL,HAR,MRW,UNI,WYA
MED	ASD,CUY,LOR,SUM,WAY
MEG	ATH,GAL,VIN
MER	AUG,DAR,SHE,VAN
MIA	CHP,CLA,DAR,MOT,SHE
MOE	BEL,NOB,WAS
MOT	BUT,CLA,DAR,GRE,MIA,PRE,WAR
MRG	ATH,MUS,NOB,PER,WAS
MRW	CRA,DEL,KNO,MAR,RIC
MUS	COS,GUE,LIC,MRG,NOB,PER
NOB	BEL,GUE,MOE,MRG,MUS,WAS
OTT	ERI,LUC,SAN,WOO
PAU	DEF,PUT,VAN
PER	ATH,FAI,HOC,LIC,MRG,MUS
PIC	FAI,FAY,FRA,HOC,MAD,ROS
PIK	ADA,HIG,JAC,ROS,SCI
POR	CUY,GEA,MAH,STA,SUM,TRU
PRE	BUT,DAR,MOT
PUT	ALL,DEF,HAN,HEN,PAU,VAN,WOO
RIC	ASD,CRA,HUR,KNO,MRW
ROS	FAY,HIG,HOC,JAC,PIC,PIK,VIN
SAN	ERI,HUR,OTT,SEN,WOO
SCI	ADA,JAC,LAW,PIK
SEN	CRA,HAN,HUR,SAN,WOO,WYA
SHE	AUG,CHP,DAR,LOG,MER,MIA
STA	CAR,COL,HOL,MAH,POR,SUM,TUS,WAY
SUM	CUY,GEA,MED,POR,STA,WAY
TRU	ATB,GEA,MAH,POR
TUS	CAR,COS,GUE,HAS,HOL,STA
UNI	CHP,DEL,FRA,HAR,LOG,MAD,MAR
VAN	ALL,AUG,MER,PAU,PUT
VIN	ATH,GAL,HOC,JAC,MEG,ROS
WAR	BUT,CLE,CLI,GRE,HAM,MOT
WAS	ATH,MOE,MRG,NOB
WAY	ASD,HOL,MED,STA,SUM
WIL	DEF,FUL,HEN
WOO	HAN,HEN,LUC,OTT,PUT,SAN,SEN
WYA	CRA,HAN,HAR,MAR,SEN
